City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,sinop,41.7711,34.8709,9.87,58,100,4.45,TR,1707790861
228,belyy yar,53.6039,91.3903,-13.06,52,0,6.0,RU,1707790861
229,tabou,4.423,-7.3528,25.99,92,3,1.48,CI,1707790861
230,oodweyne,9.4092,45.064,19.83,61,39,3.25,SO,1707790861
231,nagqu,31.5,92.0,-10.46,38,100,2.76,CN,1707790861
232,kribi,2.95,9.9167,27.26,89,6,2.78,CM,1707790861
233,kavali,14.9167,79.9833,23.31,75,69,0.13,IN,1707790862
234,saurimo,-9.6608,20.3916,18.07,97,28,1.25,AO,1707790862
235,balabac,7.9868,117.0645,27.94,76,61,8.99,PH,1707790862
236,ugoofaaru,5.6667,73.0,27.85,79,58,7.46,MV,1707790862
237,khovd,48.0056,91.6419,-14.84,50,0,2.8,MN,1707790862
238,kuhdasht,33.535,47.6061,8.29,47,12,0.95,IR,1707790862
239,merizo village,13.2658,144.6691,29.31,75,93,10.09,GU,1707790862
240,petropavlovsk-kamchatsky,53.0452,158.6483,-11.67,72,0,3.13,RU,1707790862
241,hammerfest,70.6634,23.6821,-4.75,80,96,6.69,NO,1707790856
242,nema,57.5067,50.5011,-10.91,97,100,1.62,RU,1707790862
243,qaqortoq,60.7167,-46.0333,-3.0,95,100,3.75,GL,1707790862
244,la cruz,23.9167,-106.9,17.03,64,0,2.23,MX,1707790863
245,sabang,5.8933,95.3214,27.69,79,5,11.71,ID,1707790863
246,fort mcmurray,56.7268,-111.381,0.77,59,100,5.66,CA,1707790619
247,lebu,-37.6167,-73.65,13.61,79,0,8.43,CL,1707790863
248,mbinga,-10.9333,35.0167,17.26,97,100,0.54,TZ,1707790863
249,aioun,16.6614,-9.6149,23.94,8,0,4.07,MR,1707790863
250,tomatlan,19.9333,-105.25,20.28,81,100,0.77,MX,1707790863
251,ashburton,-37.8626,145.0794,37.02,37,0,4.47,AU,1707790863
252,nemuro,43.3236,145.575,2.42,75,8,7.78,JP,1707790863
253,saint-pierre,-21.3393,55.4781,24.82,88,75,2.06,RE,1707790863
254,castillos,-34.1667,-53.8333,20.05,91,100,7.89,UY,1707790863
255,riberalta,-10.9833,-66.1,23.53,99,100,1.07,BO,1707790863
256,arinos,-15.9169,-46.1056,21.03,83,5,1.71,BR,1707790863
257,puerto armuelles,8.2833,-82.8667,28.94,57,77,0.45,PA,1707790864
258,kuqa,41.7278,82.9364,1.06,51,100,4.16,CN,1707790864
259,bima,-8.4667,118.7167,28.38,80,100,1.6,ID,1707790864
260,st. john's,47.5649,-52.7093,0.93,93,75,5.66,CA,1707790715
261,sisimiut,66.9395,-53.6735,-24.67,87,33,2.83,GL,1707790864
262,walvis bay,-22.9575,14.5053,17.53,94,79,0.0,NA,1707790864
263,takoradi,4.8845,-1.7554,27.57,88,2,2.99,GH,1707790864
264,tofol,5.3248,163.0078,27.88,89,100,7.72,FM,1707790864
265,udachny,66.4167,112.4,-36.42,66,100,2.92,RU,1707790864
266,lazaro cardenas,17.9583,-102.2,23.61,75,48,0.51,MX,1707790864
267,puerto san jose,13.9256,-90.8244,25.77,73,1,0.93,GT,1707790864
268,labytnangi,66.6572,66.4183,-33.29,92,17,1.61,RU,1707790864
269,gobo,33.8833,135.15,15.57,61,23,4.96,JP,1707790864
270,tromso,69.6496,18.957,-4.99,46,100,4.12,NO,1707790864
271,maceio,-9.6658,-35.7353,25.69,100,40,2.06,BR,1707790606
272,sitka,57.0531,-135.33,4.94,75,0,2.06,US,1707790865
273,college,64.8569,-147.8028,-4.96,86,75,0.0,US,1707790865
274,aasiaat,68.7098,-52.8699,-29.56,96,45,2.38,GL,1707790865
275,shingu,33.7333,135.9833,13.22,64,96,4.25,JP,1707790865
276,corner brook,48.9667,-57.9484,-0.91,98,100,1.54,CA,1707790865
277,nar'yan-mar,67.6713,53.087,-32.72,100,19,2.24,RU,1707790865
278,bredasdorp,-34.5322,20.0403,18.3,95,73,2.86,ZA,1707790865
279,paita,-5.0892,-81.1144,24.95,86,84,5.44,PE,1707790865
280,sherbakul',54.6316,72.3963,-20.91,98,80,3.2,RU,1707790865
281,kangasniemi,61.9936,26.6479,-16.99,96,50,3.57,FI,1707790865
282,south grafton,-29.7,152.95,29.15,42,39,3.44,AU,1707790865
283,bardai,11.65,7.2333,21.9,11,0,3.87,NG,1707790866
284,changping,40.2186,116.2197,5.8,39,0,1.7,CN,1707790781
285,dauphin,51.1494,-100.0502,-3.92,86,100,2.57,CA,1707790866
286,kletnya,53.3897,33.2171,1.13,100,100,2.45,RU,1707790866
287,hasaki,35.7333,140.8333,13.22,48,0,9.59,JP,1707790866
288,zhalantun,48.0,122.7167,-1.55,71,10,8.47,CN,1707790866
289,gunnedah,-30.9833,150.25,30.48,39,8,3.09,AU,1707790866
290,falkenberg,56.9055,12.4912,1.25,96,100,4.77,SE,1707790866
291,constantia,44.1833,28.65,5.38,86,100,3.68,RO,1707790866
292,mount gambier,-37.8333,140.7667,25.81,37,29,4.83,AU,1707790866
293,drogheda,53.7189,-6.3478,7.26,92,40,5.59,IE,1707790866
294,lerwick,60.1545,-1.1494,5.0,84,100,6.34,GB,1707790866
295,jucas,-6.5253,-39.5275,27.16,60,97,2.65,BR,1707790866
296,mil'kovo,55.6078,37.7956,-2.54,96,100,3.16,RU,1707790866
297,afaahiti,-17.75,-149.2833,26.93,90,100,13.28,PF,1707790866
298,vilyuchinsk,52.9306,158.4028,-10.85,69,4,2.2,RU,1707790867
299,tanjungtiram,4.0613,98.3699,27.64,72,8,2.41,ID,1707790867
300,novyy urengoy,66.0833,76.6333,-36.32,97,6,2.55,RU,1707790867
301,rakvere,59.3464,26.3558,-6.05,86,99,6.23,EE,1707790867
302,chulakkurgan,43.765,69.1814,-1.97,90,16,1.63,KZ,1707790867
303,dolores,-36.3132,-57.6792,13.8,65,2,5.49,AR,1707790867
304,copala,16.65,-98.9833,23.23,82,0,0.56,MX,1707790867
305,bryne,58.7354,5.6477,3.32,83,75,8.23,NO,1707790867
306,ellsworth,44.5434,-68.4195,2.14,83,100,0.0,US,1707790867
307,general acha,-37.377,-64.6043,16.4,34,0,4.37,AR,1707790867
308,kandukur,15.2167,79.9167,22.96,77,51,0.82,IN,1707790867
309,ta`u,-14.2336,-169.5144,28.7,79,85,7.4,AS,1707790867
310,ndele,8.4109,20.6473,24.87,20,22,1.59,CF,1707790867
311,ropar,30.9664,76.5331,13.17,58,99,1.18,IN,1707790868
312,ust-nera,64.5667,143.2,-34.94,95,96,0.91,RU,1707790868
313,smithers,54.7804,-127.1743,-4.82,93,20,2.06,CA,1707790868
314,chepo,9.1667,-79.1,27.21,91,100,2.29,PA,1707790868
315,gemena,3.25,19.7667,24.87,48,18,0.15,CD,1707790868
316,dakhla,23.6848,-15.958,19.39,81,86,4.41,EH,1707790868
317,arraial do cabo,-22.9661,-42.0278,23.69,90,91,2.42,BR,1707790868
318,hrubieszow,50.805,23.8925,5.7,90,97,2.75,PL,1707790868
